SITENAME,Date,Type,mgC/g,mgN/g
SRS1b,2002-09-01,Above,461.00,7.75
SRS1b,2002-09-01,Above,468.00,7.28
SRS1b,2002-09-01,Above,469.00,8.18
SRS1b,2002-09-01,Below,472.50,9.21
SRS1b,2002-09-01,Below,479.00,6.10
SRS1b,2002-09-01,Below,481.00,7.04
SRS1b,2003-03-01,Above,470.00,9.02
SRS1b,2003-03-01,Above,479.00,6.69
SRS1b,2003-03-01,Above,472.00,9.10
SRS1b,2003-03-01,Below,475.00,8.63
SRS1b,2003-03-01,Below,476.00,4.29
SRS1b,2003-03-01,Below,472.50,7.56
SRS1b,2004-03-01,Above,487.40,7.49
SRS1b,2004-03-01,Above,477.64,8.31
SRS1b,2004-03-01,Above,477.38,7.03
SRS1b,2004-03-01,Below,480.16,5.13
SRS1b,2004-03-01,Below,475.52,5.82
SRS1b,2004-03-01,Below,476.58,4.45
SRS1c,2005-04-01,Above,489.00,6.76
SRS1c,2005-04-01,Above,486.00,6.81
SRS1c,2005-04-01,Above,481.00,6.59
SRS1c,2005-04-01,Below,475.00,7.56
SRS1c,2005-04-01,Below,479.00,6.53
SRS1c,2005-04-01,Below,462.00,6.81
SRS1d,2006-03-01,Above,488.00,6.55
SRS1d,2006-03-01,Above,490.00,6.11
SRS1d,2006-03-01,Above,487.00,5.84
SRS1d,2006-03-01,Below,488.00,9.15
SRS1d,2006-03-01,Below,480.00,11.10
SRS1d,2006-03-01,Below,484.00,9.61
SRS1d,2007-03-01,Above,481.00,7.10
SRS1d,2007-03-01,Above,489.00,5.76
SRS1d,2007-03-01,Above,476.50,6.10
SRS1d,2007-03-01,Below,468.00,6.55
SRS1d,2007-03-01,Below,472.00,6.64
SRS1d,2007-03-01,Below,467.00,6.82
SRS1d,2008-03-01,Above,492.00,5.76
SRS1d,2008-03-01,Above,493.00,6.22
SRS1d,2008-03-01,Above,497.00,7.71
SRS1d,2008-03-01,Below,484.00,7.21
SRS1d,2008-03-01,Below,490.00,7.48
SRS1d,2008-03-01,Below,491.00,8.07
SRS1d,2009-03-01,Above,493.00,8.00
SRS1d,2009-03-01,Above,498.00,5.09
SRS1d,2009-03-01,Above,489.00,7.80
SRS1d,2009-03-01,Below,475.00,7.54
SRS1d,2009-03-01,Below,491.00,5.62
SRS1d,2009-03-01,Below,491.00,5.36
SRS1d,2010-03-01,Above,409.90,7.30
SRS1d,2010-03-01,Above,407.50,5.60
SRS1d,2010-03-01,Above,434.20,5.30
SRS1d,2010-03-01,Below,413.20,8.60
SRS1d,2010-03-01,Below,409.20,11.10
SRS1d,2010-03-01,Below,475.40,4.70
SRS1d,2011-03-01,Above,500.43,5.45
SRS1d,2011-03-01,Above,435.56,6.32
SRS1d,2011-03-01,Above,418.23,6.48
SRS1d,2011-03-01,Below,416.55,5.50
SRS1d,2011-03-01,Below,427.92,6.30
SRS1d,2011-03-01,Below,419.32,8.11
SRS1d,2012-03-01,Above,451.14,5.67
