SITENAME,Date,Type,ugP/g
SRS1b,2002-09-01,Above,368
SRS1b,2002-09-01,Above,450
SRS1b,2002-09-01,Above,750
SRS1b,2002-09-01,Below,662
SRS1b,2002-09-01,Below,378
SRS1b,2002-09-01,Below,1440
SRS1b,2003-03-01,Above,363
SRS1b,2003-03-01,Above,302
SRS1b,2003-03-01,Above,372
SRS1b,2003-03-01,Below,932
SRS1b,2003-03-01,Below,889
SRS1b,2003-03-01,Below,242
SRS1b,2004-03-01,Above,272.56
SRS1b,2004-03-01,Above,531.278
SRS1b,2004-03-01,Above,330.279
SRS1b,2004-03-01,Below,359.603
SRS1b,2004-03-01,Below,521.328
SRS1b,2004-03-01,Below,315.726
SRS1c,2005-04-01,Above,299
SRS1c,2005-04-01,Above,200
SRS1c,2005-04-01,Above,244
SRS1c,2005-04-01,Below,932
SRS1c,2005-04-01,Below,221
SRS1c,2005-04-01,Below,137
SRS1d,2006-03-01,Above,421
SRS1d,2006-03-01,Above,346
SRS1d,2006-03-01,Above,328
SRS1d,2006-03-01,Below,749
SRS1d,2006-03-01,Below,875
SRS1d,2006-03-01,Below,658
SRS1d,2007-03-01,Above,297
SRS1d,2007-03-01,Above,276
SRS1d,2007-03-01,Above,348
SRS1d,2007-03-01,Below,276
SRS1d,2007-03-01,Below,406
SRS1d,2007-03-01,Below,336
SRS1d,2008-03-01,Above,277
SRS1d,2008-03-01,Above,263
SRS1d,2008-03-01,Above,280
SRS1d,2008-03-01,Below,297
SRS1d,2008-03-01,Below,296
SRS1d,2008-03-01,Below,230
SRS1d,2009-03-01,Above,263
SRS1d,2009-03-01,Above,162
SRS1d,2009-03-01,Above,314
SRS1d,2009-03-01,Below,239
SRS1d,2009-03-01,Below,163
SRS1d,2009-03-01,Below,285
SRS1d,2010-03-01,Above,378.542
SRS1d,2010-03-01,Above,289.629
SRS1d,2010-03-01,Above,221.045
SRS1d,2010-03-01,Below,537.409
SRS1d,2010-03-01,Below,1005.058
SRS1d,2010-03-01,Below,140.576
SRS1d,2011-03-01,Above,189.561
SRS1d,2011-03-01,Above,188.806
SRS1d,2011-03-01,Above,271.776
SRS1d,2011-03-01,Below,146.569
SRS1d,2011-03-01,Below,326.983
SRS1d,2011-03-01,Below,208.428
SRS1d,2012-03-01,Above,166.283
SRS1d,2012-03-01,Above,213.573
SRS1d,2012-03-01,Above,144.02
SRS1d,2012-03-01,Below,256.318
SRS1d,2012-03-01,Below,182.599
SRS1d,2012-03-01,Below,106.805
SRS1d,2013-03-01,Above,230.329
SRS1d,2013-03-01,Above,238.732
SRS1d,2013-03-01,Above,198.065
SRS1d,2013-03-01,Below,447.936
SRS1d,2013-03-01,Below,155.682
SRS1d,2013-03-01,Below,253.13
SRS1d,2014-03-01,Above,188.673
SRS1d,2014-03-01,Above,233.449
SRS1d,2014-03-01,Above,214.382
SRS1d,2014-03-01,Below,244.603
SRS1d,2014-03-01,Below,496.388
SRS1d,2014-03-01,Below,504.337
SRS1d,2015-03-01,Above,179.048
SRS1d,2015-03-01,Above,233.258
SRS1d,2015-03-01,Above,159.423
SRS1d,2015-03-01,Below,287.93
SRS1d,2015-03-01,Below,317.215
SRS1d,2015-03-01,Below,171.737
SRS1d,2016-03-01,Above,257.388
SRS1d,2016-03-01,Above,184.123
SRS1d,2016-03-01,Above,320.444
SRS1d,2016-03-01,Below,688.289
SRS1d,2016-03-01,Below,257.578
SRS1d,2016-03-01,Below,271.031
SRS1d,2017-03-01,Above,204.308
SRS1d,2017-03-01,Above,227.156
SRS1d,2017-03-01,Above,283.33
SRS1d,2017-03-01,Below,558.932
SRS1d,2017-03-01,Below,325.325
SRS1d,2017-03-01,Below,203.359
SRS1d,2018-03-01,Above,360.74
SRS1d,2018-03-01,Above,212.88
SRS1d,2018-03-01,Above,231.93
SRS1d,2018-03-01,Below,320.7
SRS1d,2018-03-01,Below,480.56
SRS1d,2018-03-01,Below,322.4
SRS1d,2019-03-01,Above,220.39
SRS1d,2019-03-01,Above,246.33
SRS1d,2019-03-01,Above,211.26
SRS1d,2019-03-01,Below,190.3
SRS1d,2019-03-01,Below,171.81
SRS1d,2019-03-01,Below,258.21
SRS1d,2020-03-01,Above,172.691
SRS1d,2020-03-01,Above,167.989
SRS1d,2020-03-01,Above,155.554
SRS1d,2020-03-01,Below,375.045
SRS1d,2020-03-01,Below,290.053
SRS1d,2020-03-01,Below,310.021
SRS1d,2021-03-01,Above,151.776
SRS1d,2021-03-01,Above,161.759
SRS1d,2021-03-01,Above,179.14
SRS1d,2021-03-01,Below,80.709
SRS1d,2021-03-01,Below,358.948
SRS1d,2021-03-01,Below,466.14
SRS1d,2022-03-01,Above,235.395
SRS1d,2022-03-01,Above,196.26
SRS1d,2022-03-01,Above,199.773
SRS1d,2022-03-01,Below,138.139
SRS1d,2022-03-01,Below,110.029
SRS1d,2022-03-01,Below,215.305
SRS1d,2023-03-01,Above,149.597
SRS1d,2023-03-01,Above,301.029
SRS1d,2023-03-01,Above,202.5
SRS1d,2023-03-01,Below,141.743
SRS1d,2023-03-01,Below,178.457
SRS1d,2023-03-01,Below,333.238
SRS2,2002-09-01,Above,280
SRS2,2002-09-01,Above,292
SRS2,2002-09-01,Above,234
SRS2,2002-09-01,Below,1300
SRS2,2002-09-01,Below,234
SRS2,2002-09-01,Below,164
SRS2,2003-03-01,Above,326
SRS2,2003-03-01,Above,242
SRS2,2003-03-01,Above,224
SRS2,2003-03-01,Below,110
SRS2,2003-03-01,Below,180
SRS2,2003-03-01,Below,146
SRS2,2004-03-01,Above,416.07
SRS2,2004-03-01,Above,194.869
SRS2,2004-03-01,Above,236.35
SRS2,2004-03-01,Below,214.208
SRS2,2004-03-01,Below,410.981
SRS2,2004-03-01,Below,301.206
SRS2,2005-04-01,Above,185
SRS2,2005-04-01,Above,172
SRS2,2005-04-01,Above,188
SRS2,2005-04-01,Below,193
SRS2,2005-04-01,Below,143
SRS2,2005-04-01,Below,232
SRS2,2006-03-01,Above,354
SRS2,2006-03-01,Above,203
SRS2,2006-03-01,Above,234
SRS2,2006-03-01,Below,388
SRS2,2006-03-01,Below,128
SRS2,2006-03-01,Below,195
SRS2,2007-03-01,Above,218
SRS2,2007-03-01,Above,140
SRS2,2007-03-01,Above,160
SRS2,2007-03-01,Below,209
SRS2,2007-03-01,Below,236
SRS2,2007-03-01,Below,150
SRS2,2008-03-01,Above,282
SRS2,2008-03-01,Above,247
SRS2,2008-03-01,Above,227
SRS2,2008-03-01,Below,151
SRS2,2008-03-01,Below,189
SRS2,2008-03-01,Below,212.5
SRS2,2009-03-01,Above,235
SRS2,2009-03-01,Above,139
SRS2,2009-03-01,Above,224
SRS2,2009-03-01,Below,139
SRS2,2009-03-01,Below,104
SRS2,2009-03-01,Below,361
SRS2,2010-03-01,Above,184.446
SRS2,2010-03-01,Above,200.529
SRS2,2010-03-01,Above,332.751
SRS2,2010-03-01,Below,214.096
SRS2,2010-03-01,Below,233.763
SRS2,2010-03-01,Below,137.533
SRS2,2011-03-01,Above,206.066
SRS2,2011-03-01,Above,227.165
SRS2,2011-03-01,Above,228.026
SRS2,2011-03-01,Below,125.57
SRS2,2011-03-01,Below,853.387
SRS2,2011-03-01,Below,383.478
SRS2,2012-03-01,Above,156.602
SRS2,2012-03-01,Above,132.811
SRS2,2012-03-01,Above,192.324
SRS2,2012-03-01,Below,272.523
SRS2,2012-03-01,Below,282.375
SRS2,2012-03-01,Below,102.447
SRS2,2013-03-01,Above,209.88
SRS2,2013-03-01,Above,333.697
SRS2,2013-03-01,Above,207.907
SRS2,2013-03-01,Below,487.495
SRS2,2013-03-01,Below,228.391
SRS2,2013-03-01,Below,159.195
SRS2,2014-03-01,Above,393.73
SRS2,2014-03-01,Above,373.513
SRS2,2014-03-01,Above,314.743
SRS2,2014-03-01,Below,1625.86
SRS2,2014-03-01,Below,1515.647
SRS2,2014-03-01,Below,972.991
SRS2,2015-03-01,Above,185.242
SRS2,2015-03-01,Above,285.385
SRS2,2015-03-01,Above,273.198
SRS2,2015-03-01,Below,565.482
SRS2,2015-03-01,Below,199.961
SRS2,2015-03-01,Below,242.096
SRS2,2016-03-01,Above,188.503
SRS2,2016-03-01,Above,218.676
SRS2,2016-03-01,Above,195.276
SRS2,2016-03-01,Below,243.133
SRS2,2016-03-01,Below,132.147
SRS2,2016-03-01,Below,205.062
SRS2,2017-03-01,Above,214.479
SRS2,2017-03-01,Above,182.04
SRS2,2017-03-01,Above,248.705
SRS2,2017-03-01,Below,178.266
SRS2,2017-03-01,Below,331.438
SRS2,2017-03-01,Below,384.33
SRS2,2018-03-01,Above,333.87
SRS2,2018-03-01,Above,290.28
SRS2,2018-03-01,Above,317.45
SRS2,2018-03-01,Below,686.67
SRS2,2018-03-01,Below,326.38
SRS2,2018-03-01,Below,558.41
SRS2,2019-03-01,Above,329.01
SRS2,2019-03-01,Above,328.27
SRS2,2019-03-01,Above,321.63
SRS2,2019-03-01,Below,597.31
SRS2,2019-03-01,Below,714.82
SRS2,2019-03-01,Below,344.52
SRS2,2020-03-01,Above,187.776
SRS2,2020-03-01,Above,320.461
SRS2,2020-03-01,Above,256.647
SRS2,2020-03-01,Below,294.553
SRS2,2020-03-01,Below,167.103
SRS2,2020-03-01,Below,419.706
SRS2,2021-03-01,Above,284.722
SRS2,2021-03-01,Above,234.516
SRS2,2021-03-01,Above,202.715
SRS2,2021-03-01,Below,1349.437
SRS2,2021-03-01,Below,154.349
SRS2,2021-03-01,Below,243.203
SRS2,2022-03-01,Above,120.764
SRS2,2022-03-01,Above,184.379
SRS2,2022-03-01,Above,181.906
SRS2,2022-03-01,Below,308.983
SRS2,2022-03-01,Below,420.962
SRS2,2022-03-01,Below,224.531
SRS2,2023-03-01,Above,281.675
SRS2,2023-03-01,Above,261.601
SRS2,2023-03-01,Above,240.115
SRS2,2023-03-01,Below,1349.063
SRS2,2023-03-01,Below,457.912
SRS2,2023-03-01,Below,388.847
SRS3,2002-09-01,Above,296
SRS3,2002-09-01,Above,266
SRS3,2002-09-01,Above,302
SRS3,2002-09-01,Below,1020
SRS3,2002-09-01,Below,170
SRS3,2002-09-01,Below,210
SRS3,2003-03-01,Above,270
SRS3,2003-03-01,Above,356
SRS3,2003-03-01,Above,252
SRS3,2003-03-01,Below,144
SRS3,2003-03-01,Below,244
SRS3,2003-03-01,Below,114
SRS3,2004-03-01,Above,249.175
SRS3,2004-03-01,Above,316.027
SRS3,2004-03-01,Above,395.668
SRS3,2004-03-01,Below,206.164
SRS3,2004-03-01,Below,298.895
SRS3,2004-03-01,Below,1535.628
SRS3,2005-04-01,Above,178
SRS3,2005-04-01,Above,238
SRS3,2005-04-01,Above,223
SRS3,2005-04-01,Below,121
SRS3,2005-04-01,Below,253
SRS3,2005-04-01,Below,260
SRS3,2006-03-01,Above,333
SRS3,2006-03-01,Above,333
SRS3,2006-03-01,Above,205
SRS3,2006-03-01,Below,410
SRS3,2006-03-01,Below,703
SRS3,2006-03-01,Below,500
SRS3,2007-03-01,Above,190
SRS3,2007-03-01,Above,236
SRS3,2007-03-01,Above,300
SRS3,2007-03-01,Below,140
SRS3,2007-03-01,Below,180
SRS3,2007-03-01,Below,233
SRS3,2008-03-01,Above,252
SRS3,2008-03-01,Above,247
SRS3,2008-03-01,Above,235
SRS3,2008-03-01,Below,131
SRS3,2008-03-01,Below,129
SRS3,2008-03-01,Below,134
SRS3,2009-03-01,Above,175
SRS3,2009-03-01,Above,181
SRS3,2009-03-01,Above,265
SRS3,2009-03-01,Below,273
SRS3,2009-03-01,Below,151
SRS3,2009-03-01,Below,296
SRS3,2010-03-01,Above,360.252
SRS3,2010-03-01,Above,301.004
SRS3,2010-03-01,Above,242.427
SRS3,2010-03-01,Below,673.181
SRS3,2010-03-01,Below,249.628
SRS3,2010-03-01,Below,262.745
SRS3,2011-03-01,Above,220.61
SRS3,2011-03-01,Above,259.679
SRS3,2011-03-01,Above,329.447
SRS3,2011-03-01,Below,382.862
SRS3,2011-03-01,Below,148.601
SRS3,2011-03-01,Below,199.77
SRS3,2012-03-01,Above,225.791
SRS3,2012-03-01,Above,234.801
SRS3,2012-03-01,Above,324.394
SRS3,2012-03-01,Below,562.504
SRS3,2012-03-01,Below,227.987
SRS3,2012-03-01,Below,530.11
SRS3,2013-03-01,Above,435.618
SRS3,2013-03-01,Above,424.677
SRS3,2013-03-01,Above,488.424
SRS3,2013-03-01,Below,601.764
SRS3,2013-03-01,Below,713.317
SRS3,2013-03-01,Below,1762.762
SRS3,2014-03-01,Above,510.965
SRS3,2014-03-01,Above,380.577
SRS3,2014-03-01,Above,575.288
SRS3,2014-03-01,Below,985.246
SRS3,2014-03-01,Below,978.043
SRS3,2014-03-01,Below,107.606
SRS3,2015-03-01,Above,228.358
SRS3,2015-03-01,Above,354.155
SRS3,2015-03-01,Above,243.698
SRS3,2015-03-01,Below,92.22
SRS3,2015-03-01,Below,468.886
SRS3,2015-03-01,Below,399.95
SRS3,2016-03-01,Above,208.584
SRS3,2016-03-01,Above,283.805
SRS3,2016-03-01,Above,742.596
SRS3,2016-03-01,Below,325.22
SRS3,2016-03-01,Below,184.915
SRS3,2016-03-01,Below,774.054
SRS3,2017-03-01,Above,296.085
SRS3,2017-03-01,Above,574.997
SRS3,2017-03-01,Above,353.455
SRS3,2017-03-01,Below,394.21
SRS3,2017-03-01,Below,484.934
SRS3,2017-03-01,Below,608.775
SRS3,2018-03-01,Above,356.44
SRS3,2018-03-01,Above,256.1
SRS3,2018-03-01,Above,337.35
SRS3,2018-03-01,Below,1929.5
SRS3,2018-03-01,Below,296.63
SRS3,2018-03-01,Below,555.83
SRS3,2019-03-01,Above,205.23
SRS3,2019-03-01,Above,372.56
SRS3,2019-03-01,Above,185.63
SRS3,2019-03-01,Below,393.01
SRS3,2019-03-01,Below,780.05
SRS3,2019-03-01,Below,302.27
SRS3,2020-03-01,Above,509.709
SRS3,2020-03-01,Above,411.705
SRS3,2020-03-01,Above,336.564
SRS3,2020-03-01,Below,496.804
SRS3,2020-03-01,Below,604.281
SRS3,2020-03-01,Below,560.457
SRS3,2021-03-01,Above,304.177
SRS3,2021-03-01,Above,194.692
SRS3,2021-03-01,Above,243.209
SRS3,2021-03-01,Below,161.616
SRS3,2021-03-01,Below,160.07
SRS3,2021-03-01,Below,864.414
SRS3,2022-03-01,Above,190.495
SRS3,2022-03-01,Above,239.645
SRS3,2022-03-01,Above,357.4
SRS3,2022-03-01,Below,121.688
SRS3,2022-03-01,Below,316.158
