RecordNum,SITENAME,Date,TypeTP,ugP/g
1,TS/Ph1b,2002-03-01,Aboveground,239.678
2,TS/Ph1b,2002-03-01,Aboveground,207.185
3,TS/Ph1b,2002-03-01,Aboveground,258.839
4,TS/Ph1b,2002-03-01,Belowground,160.18
5,TS/Ph1b,2002-03-01,Belowground,71.644
6,TS/Ph1b,2002-03-01,Belowground,161.545
7,TS/Ph1b,2003-03-01,Aboveground,267
8,TS/Ph1b,2003-03-01,Aboveground,236
9,TS/Ph1b,2003-03-01,Aboveground,350
10,TS/Ph1b,2003-03-01,Belowground,92
11,TS/Ph1b,2003-03-01,Belowground,76
12,TS/Ph1b,2003-03-01,Belowground,142
13,TS/Ph1b,2004-03-01,Aboveground,278.233
14,TS/Ph1b,2004-03-01,Aboveground,379.734
15,TS/Ph1b,2004-03-01,Aboveground,315.093
16,TS/Ph1b,2004-03-01,Belowground,229.95
17,TS/Ph1b,2004-03-01,Belowground,201.803
18,TS/Ph1b,2004-03-01,Belowground,166.316
19,TS/Ph1b,2005-04-01,Aboveground,212
20,TS/Ph1b,2005-04-01,Aboveground,254
21,TS/Ph1b,2005-04-01,Aboveground,305
22,TS/Ph1b,2005-04-01,Belowground,188
23,TS/Ph1b,2005-04-01,Belowground,513
24,TS/Ph1b,2005-04-01,Belowground,337
25,TS/Ph1b,2006-03-01,Aboveground,223
26,TS/Ph1b,2006-03-01,Aboveground,267
27,TS/Ph1b,2006-03-01,Aboveground,264
28,TS/Ph1b,2006-03-01,Belowground,229
29,TS/Ph1b,2006-03-01,Belowground,275
30,TS/Ph1b,2006-03-01,Belowground,196.5
31,TS/Ph1b,2007-03-01,Aboveground,203
32,TS/Ph1b,2007-03-01,Aboveground,206
33,TS/Ph1b,2007-03-01,Aboveground,190
34,TS/Ph1b,2007-03-01,Belowground,110
35,TS/Ph1b,2007-03-01,Belowground,110
36,TS/Ph1b,2007-03-01,Belowground,88
37,TS/Ph1b,2008-03-01,Aboveground,249
38,TS/Ph1b,2008-03-01,Aboveground,299
39,TS/Ph1b,2008-03-01,Aboveground,288
40,TS/Ph1b,2008-03-01,Belowground,280
41,TS/Ph1b,2008-03-01,Belowground,201
42,TS/Ph1b,2008-03-01,Belowground,208
43,TS/Ph1b,2009-03-01,Aboveground,287
44,TS/Ph1b,2009-03-01,Aboveground,227
45,TS/Ph1b,2009-03-01,Aboveground,235
46,TS/Ph1b,2009-03-01,Belowground,93
47,TS/Ph1b,2009-03-01,Belowground,183
48,TS/Ph1b,2009-03-01,Belowground,81
49,TS/Ph1b,2010-03-01,Aboveground,169
50,TS/Ph1b,2010-03-01,Aboveground,169
51,TS/Ph1b,2010-03-01,Aboveground,190
52,TS/Ph1b,2010-03-01,Belowground,234
53,TS/Ph1b,2010-03-01,Belowground,240
54,TS/Ph1b,2010-03-01,Belowground,147
55,TS/Ph1b,2011-03-01,Aboveground,231.595
56,TS/Ph1b,2011-03-01,Aboveground,290.2
57,TS/Ph1b,2011-03-01,Aboveground,237.241
58,TS/Ph1b,2011-03-01,Belowground,96.267
59,TS/Ph1b,2011-03-01,Belowground,132.901
60,TS/Ph1b,2011-03-01,Belowground,106.042
61,TS/Ph1b,2012-03-01,Aboveground,241.635
62,TS/Ph1b,2012-03-01,Aboveground,223.946
63,TS/Ph1b,2012-03-01,Aboveground,248.835
64,TS/Ph1b,2012-03-01,Belowground,92.448
65,TS/Ph1b,2012-03-01,Belowground,184.78
66,TS/Ph1b,2012-03-01,Belowground,289.549
67,TS/Ph1b,2013-03-01,Aboveground,259.436
68,TS/Ph1b,2013-03-01,Aboveground,262.385
69,TS/Ph1b,2013-03-01,Aboveground,288.182
70,TS/Ph1b,2013-03-01,Belowground,371.443
71,TS/Ph1b,2013-03-01,Belowground,160.253
72,TS/Ph1b,2013-03-01,Belowground,214.683
73,TS/Ph1b,2014-03-01,Aboveground,279.951
74,TS/Ph1b,2014-03-01,Aboveground,229.347
75,TS/Ph1b,2014-03-01,Aboveground,358.388
76,TS/Ph1b,2014-03-01,Belowground,245.375
77,TS/Ph1b,2014-03-01,Belowground,204.654
78,TS/Ph1b,2014-03-01,Belowground,370.85
79,TS/Ph1b,2015-03-01,Aboveground,425
80,TS/Ph1b,2015-03-01,Aboveground,255.821
81,TS/Ph1b,2015-03-01,Aboveground,291.867
82,TS/Ph1b,2015-03-01,Belowground,337.715
83,TS/Ph1b,2015-03-01,Belowground,107.38
84,TS/Ph1b,2015-03-01,Belowground,85.708
85,TS/Ph1b,2016-03-01,Aboveground,213.881
86,TS/Ph1b,2016-03-01,Aboveground,109.48
87,TS/Ph1b,2016-03-01,Aboveground,167.611
88,TS/Ph1b,2016-03-01,Belowground,188.183
89,TS/Ph1b,2016-03-01,Belowground,216.324
90,TS/Ph1b,2016-03-01,Belowground,152.33
91,TS/Ph1b,2017-03-01,Aboveground,299.02
92,TS/Ph1b,2017-03-01,Aboveground,392.576
93,TS/Ph1b,2017-03-01,Aboveground,336.053
94,TS/Ph1b,2017-03-01,Belowground,154.87
95,TS/Ph1b,2017-03-01,Belowground,303.887
96,TS/Ph1b,2017-03-01,Belowground,247.371
97,TS/Ph1b,2018-03-01,Aboveground,322.22
98,TS/Ph1b,2018-03-01,Aboveground,280.637
99,TS/Ph1b,2018-03-01,Aboveground,310.826
100,TS/Ph1b,2018-03-01,Belowground,228.076
101,TS/Ph1b,2018-03-01,Belowground,269.247
102,TS/Ph1b,2018-03-01,Belowground,329.515
103,TS/Ph1b,2019-03-01,Aboveground,292.439
104,TS/Ph1b,2019-03-01,Aboveground,286.315
105,TS/Ph1b,2019-03-01,Aboveground,285.113
106,TS/Ph1b,2019-03-01,Belowground,217.056
107,TS/Ph1b,2019-03-01,Belowground,266.519
108,TS/Ph1b,2019-03-01,Belowground,71.252
109,TS/Ph1b,2020-03-01,Aboveground,229.975
110,TS/Ph1b,2020-03-01,Aboveground,204.722
111,TS/Ph1b,2020-03-01,Aboveground,159.462
112,TS/Ph1b,2020-03-01,Belowground,275.915
113,TS/Ph1b,2020-03-01,Belowground,208.763
114,TS/Ph1b,2020-03-01,Belowground,215.458
115,TS/Ph1b,2021-03-01,Aboveground,178.809
116,TS/Ph1b,2021-03-01,Aboveground,233.833
117,TS/Ph1b,2021-03-01,Aboveground,223.634
118,TS/Ph1b,2021-03-01,Belowground,176.192
119,TS/Ph1b,2021-03-01,Belowground,296.501
120,TS/Ph1b,2021-03-01,Belowground,185.405
121,TS/Ph1b,2022-03-01,Aboveground,212.196
122,TS/Ph1b,2022-03-01,Aboveground,218.544
123,TS/Ph1b,2022-03-01,Aboveground,243.345
124,TS/Ph1b,2022-03-01,Belowground,199.994
125,TS/Ph1b,2022-03-01,Belowground,259.437
126,TS/Ph1b,2022-03-01,Belowground,249.091
127,TS/Ph1b,2023-03-01,Aboveground,238.634
128,TS/Ph1b,2023-03-01,Aboveground,189.582
129,TS/Ph1b,2023-03-01,Aboveground,277.846
130,TS/Ph1b,2023-03-01,Belowground,150.264
131,TS/Ph1b,2023-03-01,Belowground,149.105
132,TS/Ph1b,2023-03-01,Belowground,278.254
133,TS/Ph2,2002-03-01,Aboveground,268.814
134,TS/Ph2,2002-03-01,Aboveground,310.835
135,TS/Ph2,2002-03-01,Aboveground,202.71
136,TS/Ph2,2002-03-01,Belowground,173.52
137,TS/Ph2,2002-03-01,Belowground,240.152
138,TS/Ph2,2002-03-01,Belowground,144.488
139,TS/Ph2,2003-03-01,Aboveground,352
140,TS/Ph2,2003-03-01,Aboveground,310
141,TS/Ph2,2003-03-01,Aboveground,266
142,TS/Ph2,2003-03-01,Belowground,168
143,TS/Ph2,2003-03-01,Belowground,210
144,TS/Ph2,2003-03-01,Belowground,123
145,TS/Ph2,2004-03-01,Aboveground,355.133
146,TS/Ph2,2004-03-01,Aboveground,340.696
147,TS/Ph2,2004-03-01,Aboveground,317.08
148,TS/Ph2,2004-03-01,Belowground,287.508
149,TS/Ph2,2004-03-01,Belowground,189.043
150,TS/Ph2,2004-03-01,Belowground,358.289
151,TS/Ph2,2005-04-01,Aboveground,272
152,TS/Ph2,2005-04-01,Aboveground,269
153,TS/Ph2,2005-04-01,Aboveground,307
154,TS/Ph2,2005-04-01,Belowground,471
155,TS/Ph2,2005-04-01,Belowground,548
