RecordNum,SITENAME,Date,Type,mgC/g,mgN/g
1,TS/Ph1b,2002-03-01,Aboveground,477.84,9.06
2,TS/Ph1b,2002-03-01,Aboveground,462.95,5.49
3,TS/Ph1b,2002-03-01,Aboveground,480.86,7.93
4,TS/Ph1b,2002-03-01,Belowground,461.14,6.76
5,TS/Ph1b,2002-03-01,Belowground,473.70,3.89
6,TS/Ph1b,2002-03-01,Belowground,461.85,6.82
7,TS/Ph1b,2003-03-01,Aboveground,482.00,9.46
8,TS/Ph1b,2003-03-01,Aboveground,476.00,8.69
9,TS/Ph1b,2003-03-01,Aboveground,475.00,9.86
10,TS/Ph1b,2003-03-01,Belowground,478.00,5.41
11,TS/Ph1b,2003-03-01,Belowground,475.00,5.42
12,TS/Ph1b,2003-03-01,Belowground,472.00,6.92
13,TS/Ph1b,2004-03-01,Aboveground,496.26,6.73
14,TS/Ph1b,2004-03-01,Aboveground,490.32,10.40
15,TS/Ph1b,2004-03-01,Aboveground,494.13,8.83
16,TS/Ph1b,2004-03-01,Belowground,481.22,5.39
17,TS/Ph1b,2004-03-01,Belowground,482.40,5.29
18,TS/Ph1b,2004-03-01,Belowground,459.55,7.29
19,TS/Ph1b,2005-04-01,Aboveground,486.00,8.73
20,TS/Ph1b,2005-04-01,Aboveground,491.00,7.62
21,TS/Ph1b,2005-04-01,Aboveground,486.00,9.84
22,TS/Ph1b,2005-04-01,Belowground,468.00,6.77
23,TS/Ph1b,2005-04-01,Belowground,443.00,10.30
24,TS/Ph1b,2005-04-01,Belowground,474.00,7.58
25,TS/Ph1b,2006-03-01,Aboveground,496.00,7.54
26,TS/Ph1b,2006-03-01,Aboveground,496.00,9.89
27,TS/Ph1b,2006-03-01,Aboveground,496.00,8.92
28,TS/Ph1b,2006-03-01,Belowground,496.00,6.91
29,TS/Ph1b,2006-03-01,Belowground,483.00,8.02
30,TS/Ph1b,2006-03-01,Belowground,490.00,6.59
31,TS/Ph1b,2007-03-01,Aboveground,485.00,10.50
32,TS/Ph1b,2007-03-01,Aboveground,486.00,9.70
33,TS/Ph1b,2007-03-01,Aboveground,490.00,5.60
34,TS/Ph1b,2007-03-01,Belowground,473.00,5.37
35,TS/Ph1b,2007-03-01,Belowground,474.00,7.93
36,TS/Ph1b,2007-03-01,Belowground,475.00,6.94
37,TS/Ph1b,2008-03-01,Aboveground,493.00,7.02
38,TS/Ph1b,2008-03-01,Aboveground,501.00,8.27
39,TS/Ph1b,2008-03-01,Aboveground,502.00,7.51
40,TS/Ph1b,2008-03-01,Belowground,487.00,7.94
41,TS/Ph1b,2008-03-01,Belowground,493.00,6.03
42,TS/Ph1b,2008-03-01,Belowground,488.00,6.10
43,TS/Ph1b,2009-03-01,Aboveground,500.00,10.80
44,TS/Ph1b,2009-03-01,Aboveground,504.00,5.85
45,TS/Ph1b,2009-03-01,Aboveground,507.00,5.27
46,TS/Ph1b,2009-03-01,Belowground,489.00,3.77
47,TS/Ph1b,2009-03-01,Belowground,487.00,4.98
48,TS/Ph1b,2009-03-01,Belowground,487.00,3.48
49,TS/Ph1b,2010-03-01,Aboveground,491.00,6.14
50,TS/Ph1b,2010-03-01,Aboveground,491.00,6.12
51,TS/Ph1b,2010-03-01,Aboveground,490.00,6.62
52,TS/Ph1b,2010-03-01,Belowground,470.00,7.38
53,TS/Ph1b,2010-03-01,Belowground,467.00,8.38
54,TS/Ph1b,2010-03-01,Belowground,480.00,7.73
55,TS/Ph1b,2011-03-01,Aboveground,421.72,7.26
56,TS/Ph1b,2011-03-01,Aboveground,497.83,8.07
57,TS/Ph1b,2011-03-01,Aboveground,429.82,7.42
58,TS/Ph1b,2011-03-01,Belowground,460.19,6.12
59,TS/Ph1b,2011-03-01,Belowground,447.54,5.49
60,TS/Ph1b,2011-03-01,Belowground,447.08,5.47
61,TS/Ph1b,2012-03-01,Aboveground,497.66,9.68
62,TS/Ph1b,2012-03-01,Aboveground,504.70,10.21
63,TS/Ph1b,2012-03-01,Aboveground,508.52,10.58
64,TS/Ph1b,2012-03-01,Belowground,531.58,10.85
65,TS/Ph1b,2012-03-01,Belowground,546.66,7.71
66,TS/Ph1b,2012-03-01,Belowground,534.99,9.99
67,TS/Ph1b,2013-03-01,Aboveground,481.30,6.73
68,TS/Ph1b,2013-03-01,Aboveground,481.52,7.16
69,TS/Ph1b,2013-03-01,Aboveground,486.20,6.86
70,TS/Ph1b,2013-03-01,Belowground,468.39,9.95
